"Subject"	"Code"	"Congruency"	"Task"	"Gender"	"Race"	"Valence"	"Switch"	"ResponseCode"	"Accuracy"	"RT"	"cumTime"	"logRT"
"9"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"	12	1	245.846153846154	27906.0769230769	5.45311390800254
"9"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"	10.4285714285714	0.857142857142857	256.142857142857	29707.7142857143	5.5319728213529
"9"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"	9.8	0.8	229.7	28925.2	5.35175069289122
"9"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"	8.33333333333333	0.666666666666667	217.222222222222	20421.1111111111	5.35316359037299
"9"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"	10.9	0.9	246.7	33567.5	5.48912585352759
"9"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"	8.33333333333333	0.666666666666667	377	23219	5.88324942580749
"9"	62	"congruent"	"Name"	"Female"	"White"	NA	"Stay"	11	1	224.818181818182	22885	5.38439522062856
"9"	62	"congruent"	"Name"	"Female"	"White"	NA	"Switch"	11	1	210.25	28619.5	5.32842864747951
"9"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"	11	1	266.727272727273	25986.9090909091	5.51698589076531
"9"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"	11	1	350.25	32686.75	5.82309128252241
"9"	63	"congruent"	"Name"	"Male"	"White"	NA	"Stay"	11.0769230769231	1	203.692307692308	23558.4615384615	5.29599105269018
"9"	63	"congruent"	"Name"	"Male"	"White"	NA	"Switch"	9.88888888888889	0.888888888888889	223.444444444444	27074.5555555556	5.38647866024007
"9"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"	10.3846153846154	0.923076923076923	217.615384615385	26902	5.35268359760086
"9"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"	10	0.9	365.5	30810.4	5.84879067124668
"9"	70	"congruent"	"Word"	NA	NA	"Bad"	"Stay"	12	1	195.25	29960.75	5.24911875210111
"9"	70	"congruent"	"Word"	NA	NA	"Bad"	"Switch"	11.3125	0.9375	269.25	23474.4375	5.47234168854594
"9"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Stay"	11	1	257.25	34327	5.47304620175212
"9"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"	9.8	0.866666666666667	362.733333333333	28413.1333333333	5.83671058201084
"9"	70	"incongruent"	"Word"	NA	NA	"Bad"	NA	11	1	522	304	6.25766758788264
"9"	80	"congruent"	"Word"	NA	NA	"Good"	"Stay"	11	1	210	2728	5.34710753071747
"9"	80	"congruent"	"Word"	NA	NA	"Good"	"Switch"	11	1	230.368421052632	26561.7368421053	5.39335751656643
"9"	80	"incongruent"	"Word"	NA	NA	"Good"	"Stay"	12	1	282	957	5.64190707093811
"9"	80	"incongruent"	"Word"	NA	NA	"Good"	"Switch"	11.3888888888889	0.944444444444444	325	30075.7222222222	5.74660957433026
"9"	NA	"congruent"	"Name"	NA	NA	NA	"Switch"	11	1	NA	NA	NA
"9"	NA	"congruent"	"Name"	NA	NA	NA	NA	11	1	NA	NA	NA
"11"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"	11.0833333333333	0.916666666666667	125.833333333333	16457.0833333333	4.82737761364897
"11"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"	10.625	0.875	156	19018.375	4.98119338368516
"11"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"	11.0833333333333	0.916666666666667	116.333333333333	20118.4166666667	4.74968526305928
"11"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"	12	1	187.875	23148.375	5.14547183116055
"11"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"	10.9	0.9	137.5	20665	4.90897199171456
"11"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"	12	1	162	13995.5555555556	5.06923022155118
"11"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"	10.9	0.9	136.7	25126.5	4.90106736875948
"11"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"	12	1	245.777777777778	17299.3333333333	5.3313674738086
"11"	62	"congruent"	"Name"	"Female"	"White"	NA	"Stay"	11	1	133.727272727273	15867.8181818182	4.88829459123728
"11"	62	"congruent"	"Name"	"Female"	"White"	NA	"Switch"	11	1	141.25	20306.5	4.93928975740557
"11"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"	7.72727272727273	0.636363636363636	143.181818181818	19371.5454545455	4.90294659940996
"11"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"	11	1	158	24924.375	5.0210722341844
"11"	63	"congruent"	"Name"	"Male"	"White"	NA	"Stay"	11.0769230769231	1	146.923076923077	16380.3076923077	4.94133585479161
"11"	63	"congruent"	"Name"	"Male"	"White"	NA	"Switch"	10.2	0.9	159.6	18981.9	5.05059958523791
"11"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"	10.3846153846154	0.923076923076923	205.692307692308	20000.8461538462	5.23469950155107
"11"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"	11.1	1	183.4	23238.3	5.17765591647039
"11"	70	"congruent"	"Word"	NA	NA	"Bad"	"Stay"	12	1	172	21425	5.10763566988754
"11"	70	"congruent"	"Word"	NA	NA	"Bad"	"Switch"	11.2666666666667	0.933333333333333	159.066666666667	17482	5.02735232956387
"11"	70	"congruent"	"Word"	NA	NA	"Bad"	NA	12	1	150	464	5.01063529409626
"11"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Stay"	6.5	0.5	352	26056	5.73336461118064
"11"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"	7.4	0.6	236.8	21384.5333333333	5.38722873364726
"11"	70	"incongruent"	"Word"	NA	NA	"Bad"	NA	11	1	196	388	5.27811465923052
"11"	80	"congruent"	"Word"	NA	NA	"Good"	"Stay"	11	1	128	747	4.85203026391962
"11"	80	"congruent"	"Word"	NA	NA	"Good"	"Switch"	11	1	145.473684210526	18745.4736842105	4.95954525275806
"11"	80	"incongruent"	"Word"	NA	NA	"Good"	"Stay"	12	1	147	718	4.99043258677874
"11"	80	"incongruent"	"Word"	NA	NA	"Good"	"Switch"	7.94736842105263	0.631578947368421	215.263157894737	22890.5789473684	5.28540134188
"14"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"	12	1	116.916666666667	15360.6666666667	4.75107364093322
"14"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"	12	1	121.375	17915.625	4.79434205868571
"14"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"	11.0833333333333	0.916666666666667	118.833333333333	18476.6666666667	4.75887498564314
"14"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"	7.875	0.625	199.75	21012.125	5.23289439503068
"14"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"	10.9	0.9	116.4	19359.9	4.74632296407936
